,Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear
0,4,C,C,MySQL,MySQL,Linux,Linux,,
1,4,C++,C#,SQLite,SQLite,Windows,Windows,,
2,4,C#,JavaScript,,,,,,
3,4,Python,SQL,,,,,,
4,4,SQL,,,,,,,
5,9,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,PostgreSQL,AWS,AWS,Express,Express
6,9,C#,C,PostgreSQL,Redis,Docker,Docker,Ruby on Rails,Ruby on Rails
7,9,HTML/CSS,HTML/CSS,SQLite,SQLite,Heroku,Heroku,Other(s):,Other(s):
8,9,JavaScript,JavaScript,,,Linux,Linux,,
9,9,Python,Ruby,,,MacOS,MacOS,,
10,9,Ruby,Rust,,,Slack,Slack,,
11,9,Rust,SQL,,,,Other(s):,,
12,9,SQL,TypeScript,,,,,,
13,9,TypeScript,WebAssembly,,,,,,
14,9,WebAssembly,Other(s):,,,,,,
15,9,Other(s):,,,,,,,
16,13,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Firebase,Android,Android,Angular/Angular.js,Express
17,13,HTML/CSS,HTML/CSS,DynamoDB,MySQL,AWS,AWS,ASP.NET,Vue.js
18,13,JavaScript,JavaScript,Firebase,Redis,Docker,Docker,Express,
19,13,PHP,Rust,MySQL,,IBM Cloud or Watson,IBM Cloud or Watson,jQuery,
20,13,SQL,SQL,,,iOS,Linux,Vue.js,
21,13,TypeScript,TypeScript,,,Linux,Slack,,
22,13,,WebAssembly,,,MacOS,Windows,,
23,13,,,,,Microsoft Azure,WordPress,,
24,13,,,,,Slack,,,
25,13,,,,,Windows,,,
26,13,,,,,WordPress,,,
27,17,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Elasticsearch,Arduino,Docker,Angular/Angular.js,Angular/Angular.js
28,17,HTML/CSS,HTML/CSS,PostgreSQL,Firebase,Docker,,Express,Express
29,17,JavaScript,Java,,MongoDB,Heroku,,Spring,React.js
30,17,TypeScript,JavaScript,,PostgreSQL,Raspberry Pi,,,Spring
31,17,,TypeScript,,,WordPress,,,Vue.js
32,17,,WebAssembly,,,,,,
33,19,C#,HTML/CSS,DynamoDB,DynamoDB,Android,AWS,Angular/Angular.js,Express
34,19,HTML/CSS,JavaScript,Firebase,,AWS,,ASP.NET,React.js
35,19,Java,,Microsoft SQL Server,,Microsoft Azure,,Express,
36,19,JavaScript,,MySQL,,,,jQuery,
37,19,SQL,,SQLite,,,,React.js,
38,19,TypeScript,,,,,,,
39,20,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js
40,20,C#,C#,MariaDB,MariaDB,Docker,Docker,ASP.NET,ASP.NET
41,20,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Windows,Windows,jQuery,jQuery
42,20,Java,Java,Microsoft SQL Server,Microsoft SQL Server,WordPress,,,
43,20,JavaScript,JavaScript,,,,,,
44,20,PHP,PHP,,,,,,
45,20,Python,Python,,,,,,
46,20,R,R,,,,,,
47,20,SQL,SQL,,,,,,
